"JURISDICTION","AREA_OF_LAW","YEAR","CATEGORY","ODP_CATEGORY","INCOMING","RESOLVED"
"High Court","Civil",2018,"Proceeds Of Crime","Proceeds Of Crime",35,15
"High Court","Civil",2018,"Judicial Review (Asylum-Related)","Judicial Review (Asylum-Related)",530,462
"District Court","Family",2018,"Domestic Violence","Domestic Violence",16599,14761
"District Court","Family",2018,"Child Care","Child Care",13168,9226
"High Court","Family",2018,"Child Care","Child Care",30,20
"High Court","Civil",2018,"Disqualify Directors","Disqualify Directors",2,1
"District Court","Civil",2018,"Appeals To District Court","Appeals To District Court",163,97
"Circuit Court","Civil",2018,"Judgments Marked In The Office","Judgments Marked In The Office",1907,1615
"District Court","Civil",2018,"Maintenance (Foreign)","Maintenance (Foreign)",115,92
"Circuit Court","Civil",2018,"Service Of Documents","Service Of Documents",5010,5010
"Court Of Appeal","Civil",2018,"Plenary","Plenary",17,19
"Court Of Appeal","Civil",2018,"Summary Judgment","Summary Judgment",62,62
"High Court","Civil",2018,"Service Of Documents","Service Of Documents",81,81
"District Court","Civil",2018,"Satisfaction Piece","Satisfaction Piece",51,51
"Circuit Court","Civil",2018,"Execution Orders Issued (Possession)","Execution Orders Issued (Possession)",170,177
"Circuit Court","Civil",2018,"Liquidated Debt","Liquidated Debt",2623,2099
"High Court","Civil",2018,"Circuit Court To High Court","Circuit Court To High Court",860,418
"High Court","Civil",2018,"Negligence","Negligence",274,155
"High Court","Civil",2018,"Defamation","Defamation",186,21
"High Court","Civil",2018,"Employment (Dismissal)","Employment (Dismissal)",4,2
"High Court","Civil",2018,"Employment (Other)","Employment (Other)",11,8
"High Court","Civil",2018,"Garda Compensation","Garda Compensation",139,134
"High Court","Family",2018,"Cohabitation","Cohabitation",11,3
"District Court","Civil",2018,"Foreign Proceedings (Other)","Foreign Proceedings (Other)",70,70
"Court Of Appeal","Civil",2018,"Chancery","Chancery",99,101
"Court Of Appeal","Civil",2018,"Insolvency (Personal)","Insolvency (Personal)",14,9
"Circuit Court","Civil",2018,"Execution Orders Issued (Judgments)","Execution Orders Issued (Judgments)",1789,1632
"High Court","Civil",2018,"Satisfaction Piece","Satisfaction Piece",85,85
"Circuit Court","Civil",2018,"District Court To Circuit Court ","District Court To Circuit Court ",1160,941
"District Court","Civil",2018,"Property (Other)","Property (Other)",80,118
"Circuit Court","Civil",2018,"Employment (Other)","Employment (Other)",39,46
